year,m,d,h,ang,vel,ta,est,altur,ot
86,1,2,1,36,0,267.6,5,235.9,52
86,1,2,2,312,3.6011,265.4,5,223.3,52
86,1,2,3,342,3.6011,267.6,4,210.8,210.8
86,1,2,4,320,3.6011,265.9,5,198.3,52
86,1,2,5,306,3.0866,264.8,6,185.8,52
86,1,2,6,217,3.6011,263.7,5,173.2,52
86,1,2,7,209,2.0578,264.8,4,160.7,160.7
86,1,2,8,236,1.5433,264.3,4,148.2,148.2
86,1,2,9,230,2.5722,264.8,4,135.6,135.6
86,1,2,10,211,1.5433,265.9,3,123.1,123.1
86,1,2,11,135,1.5433,265.4,2,110.6,110.6
86,1,2,12,131,0,266.5,2,98.1,98.1
86,1,2,13,239,3.6011,267.6,3,85.5,85.5
86,1,2,14,237,4.1155,269.3,4,73,73
86,1,2,15,210,4.1155,268.1,4,73,73
86,1,2,16,224,4.1155,269.3,4,73,73
86,1,2,17,178,2.5722,269.3,4,92.5,92.5
86,1,2,18,231,3.0866,269.8,4,113,113
86,1,2,19,242,4.1155,270.4,4,133.5,133.5
86,1,2,20,275,2.5722,270.9,4,154,154
86,1,2,21,274,0,270.9,4,174.5,174.5
86,1,2,22,145,2.5722,270.4,4,195,195
86,1,2,23,37,2.0578,270.9,4,215.5,215.5
86,1,2,24,48,6.6877,270.9,4,236,236
86,1,3,1,50,5.1444,270.4,4,256.3,256.3
86,1,3,2,46,5.6588,270.4,4,276.8,276.8
86,1,3,3,64,4.1155,270.4,4,297.3,297.3
86,1,3,4,60,4.1155,269.8,4,317.8,317.8
86,1,3,5,67,2.0578,269.8,4,338.4,338.4
86,1,3,6,49,2.0578,269.8,4,358.9,358.9
86,1,3,7,56,1.5433,269.3,4,379.4,379.4
86,1,3,8,59,4.63,268.7,4,399.9,399.9
86,1,3,9,88,4.1155,268.1,4,420.4,420.4
86,1,3,10,94,2.5722,268.1,4,440.9,440.9
86,1,3,11,52,1.5433,268.1,4,461.5,461.5
86,1,3,12,318,2.5722,269.3,4,482,482
86,1,3,13,41,2.5722,268.7,4,502.5,502.5
86,1,3,14,42,0,269.3,4,523,523
86,1,3,15,27,3.6011,269.3,4,523,523
86,1,3,16,320,2.5722,269.3,4,523,523
86,1,3,17,309,1.5433,268.7,4,511,511
86,1,3,18,221,2.0578,269.3,4,498.1,498.1
86,1,3,19,217,3.0866,269.3,4,485.3,485.3
86,1,3,20,228,1.5433,269.3,4,472.4,472.4
86,1,3,21,217,4.63,268.7,4,459.6,459.6
86,1,3,22,219,4.1155,268.7,4,446.7,446.7
86,1,3,23,251,4.1155,268.7,4,433.9,433.9
86,1,3,24,227,5.1444,268.7,4,421,421
86,1,4,1,216,4.63,268.1,4,408.3,408.3
86,1,4,2,226,4.1155,267.6,4,395.4,395.4
86,1,4,3,218,4.1155,267.6,4,382.5,382.5
86,1,4,4,239,4.1155,267,4,369.7,369.7
86,1,4,5,211,3.6011,266.5,4,356.8,356.8
86,1,4,6,202,3.0866,266.5,4,343.9,343.9
86,1,4,7,206,2.5722,264.3,5,331.1,406
86,1,4,8,218,3.0866,263.1,4,9.8,399.3
86,1,4,9,206,3.6011,263.1,4,48.3,372.9
86,1,4,10,197,3.0866,265.4,4,86.9,346.5
86,1,4,11,197,3.0866,267,3,125.4,320.1
86,1,4,12,213,3.0866,268.1,3,163.9,293.8
86,1,4,13,215,4.63,269.3,3,202.5,267.4
86,1,4,14,212,4.1155,269.3,4,241,241
86,1,4,15,231,3.6011,268.7,4,241,241
86,1,4,16,210,4.1155,267,4,241,241
86,1,4,17,243,4.1155,266.5,5,239.3,249.9
86,1,4,18,239,4.1155,266.5,5,237.5,259.6
86,1,4,19,227,4.63,264.8,5,235.7,269.4
86,1,4,20,229,5.1444,265.4,5,233.9,279.1
86,1,4,21,207,5.1444,265.4,4,232,232
86,1,4,22,219,5.1444,266.5,5,230.2,298.5
86,1,4,23,232,6.1733,267,4,228.4,228.4
86,1,4,24,238,4.1155,267,4,226.6,226.6
86,1,5,1,245,4.63,267.6,4,224.7,224.7
86,1,5,2,244,5.1444,267.6,4,222.9,222.9
86,1,5,3,227,5.6588,268.1,4,221.1,221.1
86,1,5,4,240,6.1733,268.1,4,219.3,219.3
86,1,5,5,232,5.1444,267.6,4,217.4,217.4
86,1,5,6,225,4.63,267.6,4,215.6,215.6
86,1,5,7,222,4.63,267.6,4,213.8,213.8
86,1,5,8,235,5.1444,268.1,4,212,212
86,1,5,9,219,4.63,268.1,4,210.1,210.1
86,1,5,10,198,6.1733,268.7,4,208.3,208.3
86,1,5,11,218,4.1155,268.7,4,206.5,206.5
86,1,5,12,219,4.1155,269.3,4,204.7,204.7
86,1,5,13,238,4.1155,269.8,4,202.8,202.8
86,1,5,14,230,6.1733,270.4,4,201,201
86,1,5,15,255,5.1444,270.4,4,201,201
86,1,5,16,228,4.63,270.4,4,201,201
86,1,5,17,229,5.1444,270.4,4,203,203
86,1,5,18,236,3.6011,270.4,4,205.2,205.2
86,1,5,19,247,4.1155,270.9,4,207.4,207.4
86,1,5,20,227,1.5433,270.9,4,209.5,209.5
86,1,5,21,52,8.7455,274.3,4,211.7,211.7
86,1,5,22,20,8.231,272,4,213.9,213.9
86,1,5,23,18,6.1733,271.5,4,216.1,216.1
86,1,5,24,2,5.1444,271.5,4,218.3,218.3
